subregion,avg_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,avg_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,avg_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,avg_usle_diff_1992_2020,stdev_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,count_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,avg_polllination_diff_1992_2020,stdev_polllination_diff_1992_2020,valid_count_polllination_diff_1992_2020,count_polllination_diff_1992_2020,p5_polllination_diff_1992_2020,p95_polllination_diff_1992_2020,avg_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,avg_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,avg_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,count_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Antarctica,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,784946714,,,,,0,0,,,,,0,0,,,,,0,2896434,,,,,0,0,,
Australia and New Zealand,0.0005514052631339347,0.009550659453417881,85449317,94223600,-0.009427487850189209,0.013276636600494385,-0.065986237656812,60.361370607233575,90008655,94223600,-0.3133216887712479,0.1451711654663086,-0.14352021103969428,0.6813168130439161,27674,94222804,-1.5001669585704802,0.7177655696868896,-0.8064660844234675,392.0826770963117,92033936,94223600,0.0,0.0,0.04102559901139086,2.112200264382467,4821319,94223744,-0.010184223763644695,0.02502489835023869,-0.0006148668369157688,0.04080272582982415,85118119,94223784,-0.01704084873199463,0.033630734682082775,1.0756181298116714,21.952343348544893,87001345,94223589,-0.6337047576904293,4.928462982177734,-695.9606183930605,54201.55323994712,1971885,1991708,0.0,0.0,0.17879784502182122,5.091546446123489,87001345,94223589,-1.6983966827392578,1.791095638275145
Caribbean,0.0008640593391705064,0.014336374823196975,1849297,2645613,-0.008216941356658935,0.015951931476592976,-1.2980318350216489,309.2063111187416,1919961,2645613,-8.191314697265625,2.5933549404144287,0.057628469588505475,0.4485367248655386,29787,2645478,-0.42903324365615847,0.7840449810028076,-42.85623980669365,2431.5424896512495,2411509,2645613,0.0,0.0,0.13092979098487836,3.345783513113093,879733,2645517,-1.0675639629364009,3.061746120452881,0.004673661369646256,0.0456675168263072,1856598,2645614,-0.016188147664070125,0.03560703694820397,-4.8065859263609925,79.46219432309657,1891579,2645620,-5.095471191406249,0.652430725097652,154.3268821270075,170104.75608834423,50249,54216,0.0,0.0,-0.37632597554741304,12.575001826541836,1891579,2645620,-0.8543340682983398,1.0187270164489683
Central America,-0.0009708855352739183,0.014255684146798907,25423983,28247857,-0.016969621181488037,0.010246992111206055,-0.24895025398192772,229.0030991919801,26550708,28247857,-1.329129421710968,3.8401864290237278,0.12354699154717382,0.6348898051090105,30014,28248137,-0.4386134147644043,1.1885563135147095,-14.137478936886207,1892.4133449170279,27432435,28247857,0.0,0.0,0.27749088353380874,5.076430134430341,4777893,28247908,-0.7006235361099242,2.230465507507315,0.0009911327944698467,0.0507614906830081,25534482,28247868,-0.02183234393596649,0.04024171829223633,2.912171997346047,82.34925696257903,25965796,28247870,-1.641326904296875,2.483456611633301,-11033.820403927437,392171.608677769,595503,603378,0.0,0.0,1.2425161932258884,19.363947888274573,25965796,28247870,-0.030988693237304688,1.5657691359519958
Central Asia,nan,nan,47436000,60409988,-0.00576549768447876,0.012736022472381592,0.046631994784735155,117.31729243800771,51786440,60409988,-0.44080162048339844,0.11476756185293135,,,0,60397483,,,1.3109396522539862,453.9510946809712,52378228,60409988,-0.27595382928848267,0.0,0.0041932772899545695,0.66587916855467,7801836,60409497,-0.061646548099815845,0.06669794023036957,-0.002639374951807291,0.07886240674508997,45805684,60410377,-0.05155766010284424,0.0630999207496643,1.060282952998036,36.4128589516399,54618824,60410377,-0.09319686889648438,6.621753692626953,-370.03468018640854,29210.12883193788,781080,785319,0.0,0.0,0.1758193475568057,10.926961069849698,54618824,60410377,-1.3180798053741452,1.492659091949463
Eastern Africa,4.479366460017126e-05,0.015525493995268671,67484181,75381778,-0.013651132583618164,0.015417337417602539,-1.4766666649279945,288.82056453232394,70935359,75381778,-4.001530933380126,2.2276840209960938,0.002278655257574617,0.4645511547379863,16191,75381195,-0.651036262512207,0.829667866230011,-3.5663380759855676,1688.5918316371788,71591095,75381778,0.0,0.0,0.008636180646259576,0.41812375759380377,11572285,75381037,-0.03493234142661095,0.05518706962466203,0.0015209252092391206,0.03674407196037524,68513837,75382038,-0.0433422327041626,0.05583614110946655,0.8451702059822027,13.914722685208176,70518908,75382071,-2.059978485107422,4.679075813293451,-2385.332472160421,111586.83825568357,1385707,1406907,0.0,0.0,0.09624766169096095,5.183962871745188,70518908,75382071,-3.091145157814026,2.3902999520301815
Eastern Asia,nan,nan,114578923,155855801,-0.015908002853393555,0.016724050045013428,2.5637698168642884,335.6630524479277,122173277,155855801,-6.58130102157592,3.325507450103757,-0.033572565837687994,0.6655211909194704,39230,155842036,-0.681955099105835,0.3264502197503801,12.403702631632182,1792.7073773438885,123879242,155855801,0.0,0.0,0.4121050929032829,6.7879696382830375,26322805,155854735,-2.773916244506836,5.910833454132039,-0.0031724857528306763,0.08418285994807267,120152815,155856336,-0.05362423062324523,0.05747630000114423,-1.7890510059880487,148.8034584253002,142812134,155856341,-5.028235149383544,1.291015625,-10231.412152141176,414820.8105444609,2015365,2027899,0.0,0.0,1.1956050737257382,43.245968806711076,142812134,155856341,-0.5038940906524658,4.475325584411621
Eastern Europe,nan,nan,147416227,174782161,-0.008412182331085205,0.007788896560668945,0.28347711458932,26.964429495443976,156698914,174782161,-0.1054166629910469,0.06403992623090726,-0.10009063715542026,0.7061678890496796,153738,407650966,-1.3018900156021118,0.9467540711164418,3.2754121273840697,195.14377604933085,157974761,174782161,0.0,0.0,0.0482695558869358,1.334212283203867,33751090,408001089,-0.3763117283582686,0.2084459811449051,0.0065200372975929835,0.04168780247374799,148051377,174781344,-0.007869541645050049,0.06396883726119995,-0.4350173064736862,27.335961726005603,150232800,174781344,-0.24952707290649379,0.688812255859375,77.75066953590385,103298.26718176312,4823117,4852780,0.0,0.0,-0.0498406772688787,6.357243146264199,150232800,174781344,-0.2511883020401,0.36159576773642854
Melanesia,-0.002108061568448547,0.020047324977447597,4375228,5899015,-0.018247246742248535,0.007955887913703913,56.09526294984826,1704.9813812317764,4571347,5899015,-0.5927550375461578,5.288203811645555,0.12364643850144308,0.6929048456854514,27632,5899062,-0.2517028570175167,1.3487915992736816,31.200302338893835,7509.812366894417,5315889,5899015,0.0,0.0,0.024476255094494394,0.35309373185613674,696708,5899037,-0.48486530780792236,0.5523993790149694,-0.0027484402039640843,0.026574876418744873,4365119,5892009,-0.009970128536224365,1.4603137969970703e-05,0.18902095237448166,7.54212321753521,4415490,5892012,0.0,0.0,-98.43334134244083,3490.213873440141,116534,131096,0.0,0.0,0.1492233025100272,1.6745807417380625,4415490,5892012,0.0,0.127239108085631
Micronesia,,,0,51707,,,,,0,51707,,,-0.02018252707816459,0.1288255244263121,555,51712,-0.06413304805755615,0.002986431121826172,34.15090080736262,249.13776155387396,15049,51707,0.0,0.0,,,0,51718,,,,,0,51699,,,,,0,51701,,,478.00374053030305,8816.772567813812,330,916,0.0,0.0,,,0,51701,,
