nev_name,avg_pollination_diff_1992_2020,stdev_pollination_diff_1992_2020,valid_count_pollination_diff_1992_2020,count_pollination_diff_1992_2020,p5_pollination_diff_1992_2020,p95_pollination_diff_1992_2020,avg_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,avg_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,avg_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,avg_usle_diff_1992_2020,stdev_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,count_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,avg_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,avg_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,avg_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,count_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Afghanistan,0.0005704162890655552,0.0739050747203461,8131652,8131652,0.0,0.0,nan,nan,8131906,8131906,nan,nan,-0.7185183977395069,104.59688715745548,5443060,8131906,-0.8434921264648434,1.4049801826477033,,,0,8131323,,,-2.688191916483307,404.74927017436795,5444660,8131906,0.0,0.0,nan,nan,8132001,8132001,nan,nan,0.2676482291373732,8.231713864402687,7734225,8131998,-0.3011512756347656,0.0031342484056949456,-8408.345267470553,222418.70181654373,21479,21481,0.0,0.0,0.20768478742213992,2.8069054591297995,7734225,8131998,-0.0009750489145517343,0.6453657150268528
Albania,-0.001034963670771778,0.13076140785879903,397982,400683,-0.09524500034749507,0.024316866323351435,nan,nan,400732,400732,nan,nan,-58.2623668545727,558.4706810532759,367737,400732,-327.375732421875,1.6672523498535219,0.08756576793998543,0.4256144291902406,477,400642,-0.16345179080963132,1.2268709421157835,-212.9448865234864,2673.417571787522,387437,400732,-1222.4400390625,0.0,nan,nan,400744,400744,nan,nan,-2.791193622842012,50.1929628628038,341406,400745,-5.563019752502441,7.195265769958496,7402.555498458376,68603.56395983431,3892,3975,0.0,895.0826416015576,-2.4014417584928207,15.788423047220352,341406,400745,-8.518631935119629,0.0
Algeria,0.01814117071804726,1.424099036367717,27557643,27563807,0.0,0.0,nan,nan,27564091,27564091,nan,nan,-1.5132584718547717,39.39575246976553,4115067,27564091,-2.178421807289123,1.5073993682861277,0.1914702249793745,0.6039541860668256,2481,27562412,-0.1341155767440796,0.5033342838287354,-6.417213984563056,217.939190128965,4168053,27564091,0.0,0.0,nan,nan,27563957,27563957,nan,nan,1.5351270091649096,36.267042921427674,25916240,27563946,0.0,0.0,-0.06307299994382874,51.130210756051206,382758,382758,0.0,0.0,0.7620206480569712,15.682255289899269,25916240,27563946,0.0,0.0
American Samoa,,,0,2601,,,nan,nan,2597,2597,nan,nan,,,0,2597,,,,,0,2600,,,,,0,2597,,,nan,nan,2597,2597,nan,nan,,,0,2598,,,0.0,0.0,16,17,0.0,0.0,,,0,2598,,
Andorra,0.0,0.0,6403,6403,0.0,0.0,nan,nan,6401,6401,nan,nan,18.827820983053506,347.4301258697226,6373,6401,-0.5824661254882809,74.06561431884765,,,0,6393,,,30.463135493488153,1727.57376147456,6373,6401,0.0,86.34348602294776,nan,nan,6403,6403,nan,nan,0.6777602728770353,7.066488443059177,6203,6403,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.5783601668925319,2.8074341982319644,6203,6403,0.0,4.276506423950192
Angola,3.7343884019065325e-05,0.0022110887121675033,13447903,13462835,0.0,0.0,nan,nan,13463037,13463037,nan,nan,2.3967532190550394,97.42819969649663,13245735,13463037,-0.19569681137800213,0.8850522994995096,0.12835328525170348,0.6910972711244433,665,13462575,-0.764390230178833,0.9355618953704834,7.325264230905606,428.1799681425427,13297555,13463037,0.0,0.0,nan,nan,13463096,13463096,nan,nan,0.015397332209934392,4.172326084641218,12806077,13463105,-2.8084182739257812,2.50238037109375,-2378.6106307686696,162457.75626009746,274110,274945,0.0,0.0,0.037457114110746016,2.2975029568308516,12806077,13463105,-2.170284223556518,2.303218841552729
Anguilla,0.0,0.0,824,1198,0.0,0.0,nan,nan,1202,1202,nan,nan,,,0,1202,,,-0.07147880591968499,0.18594500661614244,404,1203,-0.4218100309371948,0.07218551635742188,-0.3875416160648705,8.687077397177019,468,1202,0.0,0.0,nan,nan,1202,1202,nan,nan,,,0,1202,,,,,0,12,,,,,0,1202,,
Antarctica,0.0,0.0,10654,784946714,0.0,0.0,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,2896434,,,,,0,0,,
Antigua and Barbuda,0.0,0.0,4773,5497,0.0,0.0,nan,nan,5508,5508,nan,nan,,,0,5508,,,-0.10877330303192138,0.588076463134654,80,5501,-1.167365550994873,0.6158289581537244,22.40655942650186,213.26571775661117,3762,5508,0.0,97.26964607238757,nan,nan,5506,5506,nan,nan,,,0,5505,,,0.0,0.0,63,69,0.0,0.0,,,0,5505,,
Argentina,0.0009441238582623752,1.3264814729571173,36013966,36073422,0.0,0.0,nan,nan,36073832,36073832,nan,nan,0.039614622266387275,124.19922440102128,34022879,36073832,-0.2628385066986082,0.8521350860595618,0.01050221008156117,0.5119985701703115,4641,36073029,-0.7407469749450684,0.922398030757904,0.4339242598895267,443.2597557814208,34417193,36073832,0.0,0.0,nan,nan,36073931,36073931,nan,nan,1.286854102711786,17.19844532533514,33682600,36073892,-0.9008523941040032,2.359638595581032,-814.6183099897969,133805.01977506795,689984,693352,0.0,0.0,0.39784087332925605,3.5803617894702975,33682600,36073892,-0.05145264863967891,2.249021875858272
